osmid,new_nodes,x,y,geometry
278364190,278364190,24.7071351,59.4619055,POINT (24.7071351 59.4619055)
6726297219,6726297219,24.7734738,59.44416,POINT (24.7734738 59.44416)
27503555,27503555,24.7588723,59.4137514,POINT (24.7588723 59.4137514)
989935973,989935973,24.8344015,59.4160726,POINT (24.8344015 59.4160726)
11780904,11780904,24.7175207,59.443305,POINT (24.7175207 59.443305)
4622582280,4622582280,24.7317461,59.4403807,POINT (24.7317461 59.4403807)
76481245,76481245,24.8326572,59.4286988,POINT (24.8326572 59.4286988)
715799240,715799240,24.8340711,59.4265959,POINT (24.8340711 59.4265959)
693191997,693191997,24.8279596,59.4230388,POINT (24.8279596 59.4230388)
11789965,11789965,24.676121,59.4115409,POINT (24.676121 59.4115409)
1559660604,1559660604,24.6706829,59.4108261,POINT (24.6706829 59.4108261)
642560193,642560193,24.799338,59.4203268,POINT (24.799338 59.4203268)
2107967237,2107967237,24.8559934,59.4327066,POINT (24.8559934 59.4327066)
291750883,291750883,24.7986723,59.4190768,POINT (24.7986723 59.4190768)
278364484,278364484,24.7112207,59.4549998,POINT (24.7112207 59.4549998)
928375333,928375333,24.7150871,59.4543548,POINT (24.7150871 59.4543548)
6410093611,6410093611,24.7199598,59.4494827,POINT (24.7199598 59.4494827)
293896194,293896194,24.8021433,59.420343,POINT (24.8021433 59.420343)
12293081,12293081,24.8499764,59.4275139,POINT (24.8499764 59.4275139)
385950102,385950102,24.7381414,59.41141,POINT (24.7381414 59.41141)
82498911,82498911,24.7418881,59.4112745,POINT (24.7418881 59.4112745)
636101626,636101626,24.7473816,59.4180335,POINT (24.7473816 59.4180335)
341064636,341064636,24.7613623,59.4207416,POINT (24.7613623 59.4207416)
11793234,11793234,24.7592411,59.4176826,POINT (24.7592411 59.4176826)
3716488280,3716488280,24.7303163,59.4172394,POINT (24.7303163 59.4172394)
454566373,454566373,24.7155009,59.4295067,POINT (24.7155009 59.4295067)
11779813,11779813,24.6904485,59.4549814,POINT (24.6904485 59.4549814)
6030028079,6030028079,24.667935,59.4572514,POINT (24.667935 59.4572514)
5941641589,5941641589,24.7753846,59.441556,POINT (24.7753846 59.441556)
790046553,790046553,24.7671368,59.441984,POINT (24.7671368 59.441984)
1787432021,1787432021,24.7415591,59.3750941,POINT (24.7415591 59.3750941)
436371379,436371379,24.6709416,59.4564164,POINT (24.6709416 59.4564164)
2156507232,2156507232,24.6339686,59.4285728,POINT (24.6339686 59.4285728)
1262555914,1262555914,24.6683191,59.4018538,POINT (24.6683191 59.4018538)
10873858611,10873858611,24.6502539,59.4070416,POINT (24.6502539 59.4070416)
2307365907,2307365907,24.8562368,59.4157712,POINT (24.8562368 59.4157712)
843781663,843781663,24.8623491,59.4187524,POINT (24.8623491 59.4187524)
2389806775,2389806775,24.6523628,59.4059027,POINT (24.6523628 59.4059027)
146399104,146399104,24.7323788,59.4426382,POINT (24.7323788 59.4426382)
291862791,291862791,24.7173697,59.4421439,POINT (24.7173697 59.4421439)
385948673,385948673,24.7323771,59.4058699,POINT (24.7323771 59.4058699)
5919424947,5919424947,24.8110408,59.4226628,POINT (24.8110408 59.4226628)
1825230056,1825230056,24.687544,59.4558533,POINT (24.687544 59.4558533)
